age,youtuber,entertainer,fashion,total
15,12,3,2,17
16,17,8,4,29
17,32,8,14,54
18,59,13,13,85
19,60,13,28,101
20,125,20,36,181
21,113,30,33,176
22,151,24,32,207
23,171,32,33,236
24,205,41,40,286
25,207,44,46,297
26,141,23,24,188
27,138,34,23,195
28,154,29,26,209
29,142,27,23,192
30,151,31,23,205
31,94,14,14,122
32,129,16,10,155
33,84,22,15,121
34,81,20,13,114
35,114,16,17,147
36,80,14,13,107
37,82,24,5,111
38,83,27,9,119
39,61,10,7,78
40,64,20,9,93
41,29,16,4,49
42,38,11,8,57
43,33,11,3,47
44,24,8,1,33
45,24,12,2,38
46,15,3,2,20
47,15,5,3,23
48,13,6,3,22
49,9,4,3,16
50,10,5,4,19
51,6,2,1,9
52,7,7,1,15
53,3,2,1,6
54,2,1,3,6
55,4,3,1,8
56,3,2,2,7
57,4,2,2,8
58,1,1,3,5
59,1,2,2,5