thoughts,content,25-34,35-44
Expectations,Respect companion's career,64.00 ,60.00 
Expectations,Responsibility for the household,58.00 ,50.00 
Expectations,Get something off chest with each other,58.00 ,23.00 
Expectations,Be responsible for child upbringing,42.00 ,75.00 
Expectations,Be responsible for housework,28.00 ,50.00 
Concerns,Don't have time for own interests,70.00 ,42.00 
Concerns,Taking responsibilities after marriage,62.00 ,39.00 
Concerns,Don't have personal space,59.00 ,52.00 
Concerns,Hard to get along with family-in-law,58.00 ,64.00 
Concerns,Casue a bad influence on career,53.00 ,29.00 